prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
432 000 zł,"50,48 m²","Trzy pokoje 50m + balkon 4,5m + taras 20m",3,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Śródmieście, Łódź, Łódź",51.748245,19.445268,1/4,500 zł,pełna własność,"balkon, taras",Zapytaj,2024-01-20,2024,apartamentowiec,nie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon",pustak,pierwotny
639 000 zł,117 m²,Segment w domku z ogrodem! Parking x2,6,do wykończenia,Współrzędne dokładne,"Łódź, Nowosolna, ul. Brzezińska",51.79424,19.596812,Zapytaj,200 zł,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,2023-12-20,2023,dom wolnostojący,nie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",pustak,pierwotny
256 350 zł,"34,18 m²","Sobieskiego 16, Lokal B-KL2-M25",2,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Skierniewice, Skierniewice, łódzkie",51.96792,20.165867,3/4,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2022,brak informacji,nie,"telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon",brak informacji,pierwotny
404 000 zł,56 m²,Apartament 56m2 - idealna lokalizacja,3,do wykończenia,Współrzędne dokładne,"Pabianice, Bugaj, ul. Smugowa",51.647915,19.378483,1/3,7 zł,pełna własność,balkon,garaż/miejsce parkingowe,2022-06-30,2021,apartamentowiec,nie,"telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon",inne,pierwotny
399 195 zł,"56,03 m²",Źródlana 31 Residence mieszkanie B1.M.0.01,3,Zapytaj,Współrzędne dokładne,"ul. Źródlana , Piotrków Trybunalski, Piotrków Trybunalski",51.414093,19.660162,parter/7,Zapytaj,Zapytaj,Zapytaj,garaż/miejsce parkingowe,brak informacji,2024,brak informacji,tak,brak informacji,brak informacji,brak informacji,pierwotny
399 456 zł,"55,48 m²",Apartamenty Boya | mieszkanie z ogródkiem A.0.1,2,do wykończenia,Współrzędne dokładne,"Zgierz, os. 650-lecia, ul. Tadeusza Boya-Żeleńskiego",51.86096,19.380379,parter/1,Zapytaj,pełna własność,ogródek,Zapytaj,brak informacji,2024,blok,nie,"telewizja kablowa, internet","teren zamknięty, domofon / wideofon",pustak,pierwotny
Zapytaj o cenę,"53,86 m²",Botanic Park | atrakcyjny apartament nr 95,2,do wykończenia,Współrzędne dokładne,"Łódź, Polesie, ul. Konstantynowska 64c",51.758335,19.396845,3/4,Zapytaj,pełna własność,balkon,Zapytaj,0,0,0,0,0,0,0,0
462 624 zł,"75,84 m²",Osiedle Nowy Niebrów | bud. A | mieszkanie 2.1.2,3,do wykończenia,Współrzędne dokładne,"Tomaszów Mazowiecki, Niebrów, ul. ks. Jana Skorupki",51.54232,20.009691,1/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"internet, telefon",domofon / wideofon,brak informacji,pierwotny
613 720 zł,"45,8 m²",Biała Kamienica | ustawne mieszkanie M37,1,do wykończenia,Współrzędne dokładne,"Łódź, Śródmieście, ul. płk. dr. Stanisława Więckowskiego",51.77232,19.453482,3/6,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,2024,kamienica,tak,"internet, telefon",domofon / wideofon,brak informacji,pierwotny
873 040 zł,"109,13 m²",Stacja Augustów | nowe mieszkanie A7_2,4,do wykończenia,Współrzędne dokładne,"Łódź, Widzew, ul. Augustów",51.75616,19.552341,7/7,Zapytaj,pełna własność,"taras, balkon",garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"38,74 m²",Tuwima Gardens /w sąsiedztwie 2 parków/ A1/1/52,2,Zapytaj,Współrzędne dokładne,"Łódź, Widzew, ul. Juliana Tuwima",51.767403,19.490494,1,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
740 570 zł,"102,98 m²",Dom w cenie mieszkania 103 m2 z własnym ogrodem!,4,do wykończenia,Współrzędne dokładne,"Łódź, Widzew, ul. Łukaszewska",51.814846,19.53137,parter/2,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,brak informacji,2023,szeregowiec,nie,"telewizja kablowa, internet","teren zamknięty, domofon / wideofon",pustak,pierwotny
480 816 zł,72 m²,Osiedle Piotrkowska II | nowe mieszkanie 5B,3,do wykończenia,Współrzędne dokładne,"ul. Piotrkowska , Aleksandrów Łódzki, zgierski",51.8208,19.320528,1/1,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2023,szeregowiec,nie,"telewizja kablowa, internet",brak informacji,brak informacji,pierwotny
533 882 zł,"67,58 m²",Przestronne Mieszkanie Polna 18 Residence | M04,2,do wykończenia,Współrzędne dokładne,"Łódź, Bałuty, ul. Polna",51.792168,19.43518,parter/4,Zapytaj,Zapytaj,Zapytaj,garaż/miejsce parkingowe,brak informacji,2024,brak informacji,tak,"telewizja kablowa, internet",teren zamknięty,brak informacji,pierwotny
638 952 zł,"80,88 m²",Mieszkanie w inwestycji Polna 18 Residence | M03,1,do wykończenia,Współrzędne dokładne,"Łódź, Bałuty, ul. Polna",51.792168,19.43518,parter/4,Zapytaj,Zapytaj,Zapytaj,garaż/miejsce parkingowe,brak informacji,2024,brak informacji,tak,"telewizja kablowa, internet",teren zamknięty,brak informacji,pierwotny
377 060 zł,"55,45 m²",Mieszkanie do wykończenia w nowym bloku Radomsko,3,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Radomsko, radomszczański, łódzkie",51.06754,19.44224,parter/3,Zapytaj,Zapytaj,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,brak informacji,pierwotny
710 000 zł,"71,22 m²","Nowe mieszkanie 71m, I piętro Konstantynów Łódzki",4,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Konstantynów Łódzki, pabianicki, łódzkie",51.74644,19.32674,2/2,350 zł,pełna własność,balkon,garaż/miejsce parkingowe,2022-12-31,2022,apartamentowiec,nie,"internet, telefon","teren zamknięty, domofon / wideofon",cegła,pierwotny
540 000 zł,72 m²,"Nowe mieszkanie 72 m, I piętro KONSTANTYNÓW",4,do wykończenia,Współrzędne dokładne,"Polesie, Łódź, Łódź",51.75949,19.4318,2/2,280 zł,pełna własność,balkon,garaż/miejsce parkingowe,2023-01-31,2022,apartamentowiec,nie,"internet, telefon","teren zamknięty, domofon / wideofon",cegła,pierwotny
