prize;surface;offer name;rooms ;standard;localization_info;localization_name;latitude;longitude;floor_number;rental_cost;form_of_property;extras;garage;availability;year_of_construction;type_of_building;elevator;media;security;building_material;market
630 000 zł;81,46 m²;Sprzedam mieszkanie w spokojnej okolicy;3;do zamieszkania;Współrzędne dokładne;Bydgoszcz, Osowa Góra, ul. Drozdów;53.142285;17.914418;1/3;750 zł;pełna własność;balkon;garaż/miejsce parkingowe;brak informacji;2009;blok;nie;telewizja kablowa, internet;drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe;pustak;pierwotny
194 494 zł;31,37 m²;Apartamenty Ułańskie - BEZPOŚREDNIO OD DEWELOPERA;1;do wykończenia;Współrzędne dokładne;Grudziądz, Tarpno, ul. Zaułek;53.499956;18.765386;parter/2;Zapytaj;Zapytaj;balkon;garaż/miejsce parkingowe;brak informacji;2023;blok;nie;telewizja kablowa, internet, telefon;drzwi / okna antywłamaniowe, domofon / wideofon, rolety antywłamaniowe;brak informacji;pierwotny
Zapytaj o cenę;68,51 m²;Osielsko Residence | apartament E21;3;do wykończenia;Współrzędne dokładne;ul. Jana Pawła II 83, Osielsko, bydgoski;53.190845;18.071354;1/3;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;0;0;0;0;0;0;0;0
330 000 zł;35,74 m²;NOWE, duża loggia, dobra komunikacja, 0% PCC;2;do wykończenia;Współrzędne dokładne;Bydgoszcz, Górny Taras, ul. Krzysztofa Kamila Baczyńskiego;53.106668;18.059293;4/5;320 zł;pełna własność;balkon;Zapytaj;brak informacji;2023;apartamentowiec;tak;telewizja kablowa, internet;drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon;silikat;pierwotny
269 000 zł;63 m²;Mieszkania bezczynszowe;3;do wykończenia;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Lipno, lipnowski, kujawsko-pomorskie;52.83782;19.17463;Zapytaj;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2022;blok;nie;telewizja kablowa, internet;brak informacji;beton komórkowy;pierwotny
460 000 zł;64,5 m²;"Nowe mieszkanie ""Pod Klucz"" dla Twojej rodziny";4;do zamieszkania;Współrzędne dokładne;Przybyszeskiego 39, Inowrocław, inowrocławski;52.765244;18.265405;1/1;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2021;dom wolnostojący;nie;brak informacji;teren zamknięty, rolety antywłamaniowe;beton komórkowy;pierwotny
Zapytaj o cenę;53,11 m²;Osiedle Harmonia | 3 pokoje | Jar;3;do wykończenia;Współrzędne dokładne;Toruń, Wrzosy, ul. Henryka Strobanda;53.052597;18.61053;3/3;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;0;0;0;0;0;0;0;0
352 256 zł;55,04 m²;Lipowa Park;3;do wykończenia;Współrzędne dokładne;ul. Lipowa , Inowrocław, inowrocławski;52.790356;18.277254;parter;150 zł;pełna własność;ogródek;garaż/miejsce parkingowe;brak informacji;2022;szeregowiec;nie;brak informacji;drzwi / okna antywłamaniowe, teren zamknięty, rolety antywłamaniowe;pustak;pierwotny
505 521 zł;64,04 m²;Przestronne mieszkanie nr 9 Przy Koszalińskiej 52;3;do wykończenia;Współrzędne dokładne;Toruń, Bielawy, ul. Koszalińska;53.03408;18.702616;1/2;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2022;apartamentowiec;tak;internet;domofon / wideofon, rolety antywłamaniowe;silikat;pierwotny
314 544 zł;37,67 m²;2-pokojowe mieszkanie 37m2 + taras Bez Prowizji;2;do wykończenia;Współrzędne dokładne;Puszczykowa 6, Osielsko, bydgoski;53.18093;18.059841;2/3;Zapytaj;pełna własność;taras;garaż/miejsce parkingowe;0;0;0;0;0;0;0;0
